row_num,manufacturer,film_name,box_count,warehouses,recommendation,target_manufacturer,target_film_name,reason,confidence
"1","Vinyl","Coastal Dow 995 Black","11","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"2","3M Solar","3M Black IPA Caulk","9","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"3","3M Solar","3M PR 20 Ext","8","IL1|MS1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"4","Solar Gard","SG Truevue 30","8","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"5","Solar Gard","SolarGuard Truevue 30","6","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"6","3M Solar","3M White IPA Caulk","4","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"7","3M Solar","3M BLACK IPA CAULK","2","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"8","Solar Gard","SG TrueVue 30","2","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"9","Solar Gard","Solar Guard Truevue 15","2","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"10","Solar Gard","SolarGuard Truevue 15","2","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"11","Vinyl","DOW 795 Black","2","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"12","3M Solar","3M BLACK CAULK","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"13","3M Solar","3m Black IPA caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"14","3M Solar","3M Bronze Caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"15","3M Solar","3M IPA Black","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"16","3M Solar","3M IPA White","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"17","3M Solar","3M PR 20 Exterior","1","MS1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"18","Llumar","Vista V-33","1","IL1","REVIEW_MAP_CANDIDATE","Llumar","V33","single shared model token","medium"
"19","Solar Gard","SG SLATE 30","1","IL1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 30","multiple normalized matches (2)","medium"
"20","Solar Gard","SG True Vue 15","1","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"21","Solar Gard","SolarGuard Slate 30","1","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 30","multiple normalized matches (2)","medium"
"22","Solyx","Solyx Transparent White Matte SXWFTWM","1","IL1","REVIEW_MAP_CANDIDATE","Solyx","Transparent White Matte SXWFTWM","multiple normalized matches (2)","medium"
"23","Vinyl","Black Caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"24","Vinyl","CLEAR CAULK SPECTRUM","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"25","Vinyl","Coastal Black Caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"26","Vinyl","DOW 799 CORNING SILICONE","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"27","Vinyl","GREY CAULK - STONEY","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"28","Vinyl","SPECTRUM BLACK CAULK","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"29","Vinyl","WHITE CAULK","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
